ID,Bucket,Criterion,What pass requires,Notes,Conditional
KP5,KP — Kapı,Karar eşikleri veriden türetildi ve AYNEN uygulandı,Kalibre edilen eşik ile sentezin uyguladığı eşik aynı olmalı. Pass = esik_kalibrasyonu.esikler ile sentez.esikler ORTAK anahtarlarda 1e-6 içinde eşit; ya da eşik türetilemediyse kaynak alanı 'KALİBRE EDİLEMEDİ' / 'STATİK KORKULUK' diye AÇIKÇA etiketlenmiş. Fail = iki eşik ayrışıyor (karar raporlanandan BAŞKA kapıdan geçmiş) ya da etiketsiz sabit eşik kullanılmış.,"gozlemci.py:379-398; türetim esik_kalibre.py (K5'te sentezden ÖNCE), uygulama sentez.py:128-131.",
KP6,KP — Kapı,İşlem kalitesi kapısı fail-closed işledi,"'TEMİZ GİRİŞ VAR' denildiyse her aday R_gercekci >= 1.35 VE rr_verdict 'TUTARLI' olmalı; 'TEMİZ GİRİŞ YOK' denildiyse gerekçe engeller ya da ozet alanında yazılı olmalı. Pass = ilan edilen hüküm bu koşulları taşır. Fail = R < 1.35 ya da ŞİŞİRİLMİŞ aday temiz giriş sayılmış, ya da gerekçesiz BEKLE.","Eşik: piramit.py:98 r_min = 1.35 (motorun kendi kapısı); kapı kuralı piramit.py:1233-1291. BEKLE bir işlem-kalitesi hükmüdür, yön reddi değildir.",
D1,D — Doğrulama,Doğrulanmamış görüş tam ağırlık almadı (fail-closed),Doğrulanmamış her danışmanın etkin ağırlığı güven × refute_penalty olmalı ve çürütme gerekçesi bir yerde yazılı olmalı. Pass = sentez.danisman_ozeti'nde dogrulandi=false olan her satırda etkin_agirlik ≈ guven × refute_penalty (±1e-3) VE gerekçe curutme alanında ya da K4.dogrulama_gerekceleri[ad] içinde var. Fail = doğrulanmamış görüş tam ağırlık almış (fail-OPEN) ya da gerekçesiz çürütülmüş.,sentez.py:74-88 — kanıtsız görüş TAM ağırlık ALMAZ; refute_penalty varsayılanı 0.25 (sentez.py:130).,
D2,D — Doğrulama,Doğrulama seçici — herkes onaylanmadı,Doğrulama fail-OPEN olmamalı. Pass = verifier'da en az bir confirmed=false VAR ya da en az bir danışman verifier'da hiç kapsanmamış (fail-closed cezalı). Fail = tüm danışmanlar onaylı ve hiç çürütme yok (memnun etme / fail-OPEN şüphesi).,gozlemci.py:301-313 aynı kalıbı UYARI olarak basar; rubrikte DÜŞTÜ sayılır — rubrik mühürden daha sıkı olabilir.,
D3,D — Doğrulama,Şişirilmiş-R denetimi her seviyeye uygulandı,Seviye taşıyan her danışman rr_denetim'den geçmeli; ŞİŞİRİLMİŞ çıkan danışman doğrulanmamış sayılmalı. Pass = k3.seviyeler'deki her ad k4.rr_denetimi'nde bir verdict taşıyor VE ŞİŞİRİLMİŞ olanlar için verifier[ad].confirmed = false. Fail = denetimden geçmemiş seviye ya da şişirilmiş R'ye rağmen onaylı danışman.,piramit.py:811-832; ATR eşikleri rr_denetim.py:38 (min_stop_atr 0.8 / swing_stop_atr 2.0 / far_target_atr 3.0).,seviye-uretildi
D4,D — Doğrulama,Tünel görüşü yok — en az iki kanıt ailesi doğrulandı,Onaylı danışmanlar en az İKİ bağımsız kanıt ailesinden gelmeli (fiyat-yapisi / turev-akis / tarihsel-kanit / gorsel). Pass = onaylı danışmanların aile kümesi >= 2. Fail = tek aile (karar tek pencereden bakıyor).,Aile eşlemesi gozlemci.py:46-54 (AILE sözlüğü) — birebir kullanılır.,
D5,D — Doğrulama,Dairesel doğrulama yok,"Hiçbir danışman KENDİ çıktısıyla doğrulanmamalı. Pass = dogrulama_gerekceleri'ndeki her gerekçe, danışmanın kendi adı dışında bir kaynağa (smc_tespit / setup_dogrulama / backtest / rr_denetim / R_MIN) atıf yapıyor. Fail = gerekçe yalnız danışmanın kendi adını içeriyor (çapraz değil).",gozlemci.py:286-300 aynı kaynak listesini kullanır.,
D6,D — Doğrulama,Çelişki turu koştu ve hükmü uygulandı,Sentezden sonra YALNIZ doğrulanmış danışmanlarla ikinci sentez koşmalı; yön dayanıksızsa karar fail-closed NÖTR olmalı. Pass = celiski_turu alanı var VE (yon_dayaniksiz false) ya da (true iken sentez.KARAR = 'NÖTR-BEKLE' ve EMİR YOK). Fail = dayanıksız bulguya rağmen yönlü karar/emir basılmış.,piramit.py:1031-1055 (uygulama) ve 1104-1140 (ikinci sentez); gozlemci.py:434-442.,
D7,D — Doğrulama,Görsel okuma mekanik ölçümle karşılıklı teyide bağlandı,"Elle görsel okuma bir ÖLÇÜM DEĞİLDİR: güveni tavanlı, doğrulaması mekanik trende bağlı. Pass = gorsel-teyit danışmanının ham güveni <= 0.50 VE verifier['gorsel-teyit'] mekanik trend karşılaştırması taşıyor; uyumsuzsa K4 çelişkilerinde 'GÖRSEL-MEKANİK ÇELİŞKİSİ' bayrağı var. Fail = tavan aşılmış, teyit kaydı yok ya da uyumsuzluk bayrak düşürmemiş.",Tavan: piramit.py:105 gorsel_tavan = 0.50 (uygulama 724-733); teyit piramit.py:836-854.,gorsel-okuma-var
D8,D — Doğrulama,Türev kanalı KAPSAMIYLA birlikte raporlandı,Türev motoru koştuysa kapsamı sayısal olmalı ve danışman doğrulaması kapsam eşiğine bağlanmalı. Pass = rapor.kapsam sayısal VE danisman._verifier_confirmed == (kapsam >= 0.5). Fail = kapsam yok ya da düşük kapsamlı türev danışmanı doğrulanmış sayılmış.,Eşik: turev_akis.py:64 kapsam_esigi = 0.5; bağlama turev_akis.py:302 (yetersiz veri → çürütme penaltısı).,turev-motoru-kostu
D9,D — Doğrulama,Çapraz-varlık riski ölçüldü ve risk çarpanına çevrildi,"İkinci sembol beyan edildiyse korelasyon motoru koşmalı; |ρ| >= 0.85 ise kopya-pozisyon hükmü ve risk çarpanı 2.0 K4 çelişkilerine taşınmalı. Pass = korelasyon motor çıktısı var, |ρ| >= 0.85 iken HUKUM 'KOPYA POZİSYON' ve toplam_risk_carpani 2.0, VE çelişkilerde 'KORELASYON' geçen bir satır var. Fail = beyan edilip koşmamış ya da yüksek ρ risk çarpanına çevrilmemiş.","Eşikler: korelasyon.py:32 kopya_esigi = 0.85, korelasyon.py:99 risk_kat = 2.0; taşıma piramit.py:856-866.",korelasyon-beyan-edildi
Ç1,Ç — Çıktı,İki satır sözleşmesi (YÖN + İŞLEM KALİTESİ),Çıktı daima İKİ AYRI satır vermeli; yön BEKLE ardında saklanamaz. Pass = ZIRVE.iki_satir'da 1_YON ve 2_ISLEM_KALITESI dolu VE YON_BIAS LONG|SHORT|NÖTR değerlerinden biri. Fail = satırlardan biri boş ya da YON_BIAS tanımlı küme dışında.,piramit.py:1617-1622; YON_BIAS üretimi sentez.py:177-185 (kapıdan BAĞIMSIZ).,
Ç2,Ç — Çıktı,YÖN mekanik türedi (beklentiye göre ayarlanmadı),"Pass = yon_skoru > 0 iken YON_BIAS 'LONG', < 0 iken 'SHORT', tam 0 iken 'NÖTR'. Fail = ağırlıklı skorun işaretiyle çelişen yön (MEMNUN_ETME).",gozlemci.py:466-476 aynı testi yapar; skor sentez.py:107.,
Ç3,Ç — Çıktı,Çıktı hikâye değil EMİR,Pass = EMIR ya '<MARKET|LIMIT> <LONG|SHORT> @giriş | stop | T1 | R' biçiminde ya 'EMİR YOK' + en az bir mekanik gerekçe (EMIR_GEREKCE ya da emir_red_nedenleri). Fail = çıplak 'EMİR YOK' (hangi kapı düştü belirsiz) ya da biçimsiz emir satırı.,Çıktı sözleşmesi emir_plani.py:11-14; gerekçe denetimi gozlemci.py:413-422.,
Ç4,Ç — Çıktı,Geçersizlik koşulu taşındı,Pass = ZIRVE.gecersizlik alanı dolu — ya motorun iptal kuralı ya AÇIKÇA 'VERİ YOK'. Fail = alan yok ya da boş dize.,"piramit.py:1360-1362 ve 1691-1694 — motorda iptal kuralı yoksa VERİ YOK basılır, uydurulmaz ('bilmiyorum' geçerli cevaptır).",
Ç5,Ç — Çıktı,Zorunlu girdi eksiği en üstte VE çelişkiye taşınmış,Pass = ZIRVE.ZORUNLU_EKSIK bir liste (boş olabilir) VE dolu ise her maddesi K4.celiskiler'inde 'ZORUNLU GİRDİ EKSİK' satırı olarak da görünüyor. Fail = alan yok ya da eksik madde çelişkilere taşınmamış (sessiz atlama).,piramit.py:868-870 (çelişkiye taşıma) ve 1610 (zirveye taşıma).,
Ç6,Ç — Çıktı,Gözlemci mührü uygulandı,Pass = DENETIM.muhurlendi false VE kritik_ihlal boş; ya da muhurlendi true iken ISLEM_KALITESI 'DENETİM İHLALİ' içeriyor VE EMIR 'DENETİM MÜHÜRÜ' içeriyor. Fail = kritik ihlal var ama işlem kalitesi/emir hâlâ açık.,"Kritik kod kümesi gozlemci.py:43 (UYDURMA/DAIRESEL/EKSIK_AKTARIM/MEMNUN_ETME); mühür uygulaması piramit.py:1658-1670. YÖN yine gösterilir, işlem mühürlenir.",
Ç7,Ç — Çıktı,KIYAS koştu (eski veri → yeni veri),Önceki kayıt varsa kıyas atlanamaz. Pass = KIYAS.durum 'KIYASLANDI' VE YON_DEGISIMI.etiket dolu (DEVAM / DÖNÜŞ / NÖTRE ÇEKİLDİ / YÖN OLUŞTU / BELİRSİZ). Fail = kayıt varken kıyas koşmamış ya da etiket üretilmemiş.,Etiketler kiyas.py:105-115; denetim gozlemci.py:510-536. Yön AYNI kalsa bile sürücü değişimi kararın kalitesini değiştirir.,onceki-kosu-kaydi-var
Ç8,Ç — Çıktı,Zirvedeki her sayının alt katmanda kaynağı var,Pass = ZIRVE'deki yon_skoru / guven_skoru / uzlasi / seviyeler sayılarının TAMAMI K3 + K4 + sentez + islem_kalitesi çıktılarında birebir (6 hane yuvarlamayla) bulunuyor. Fail = alt katmanda karşılığı olmayan sayı (UYDURMA).,"gozlemci.py:453-465 aynı küme karşılaştırmasını yapar (_sayilar, round 6).",
Ç9,Ç — Çıktı,Kalibrasyon ölçülmüş defterden ve sınırları içinde,"Pass = kalibrasyon.ayrinti'daki her motorda n / kaynak / agirlik alanları var, ağırlık [0.40, 1.00] aralığında VE n < 10 (n_taban) iken ağırlık tam 1.0 (değiştirilmemiş). Fail = kanıtsız ağırlık değişimi ya da sınır dışı ağırlık.",Sınırlar piramit.py:103 (agirlik_alt 0.40 / agirlik_ust 1.00); n_taban kalibrasyon.py:38 = 10; kural piramit.py:1505-1516. Ölçülmemiş sonuç istatistiğe girmez.,
